text,label
Fiyatlar kaliteye göre gayet uygundu.,positive
Tatlı çok şekerliydi ve lezzetsizdi.,negative
"Yemekler harikaydı, şefin ellerine sağlık.",positive
Masalar temizdi ve hijyen kurallarına uyulmuştu.,positive
Dekorasyon çok estetikti.,positive
"Yemekler harikaydı, şefin ellerine sağlık.",positive
Garsonlar çok güler yüzlüydü.,positive
Şef masaya gelip memnuniyetimizi sordu.,positive
"Servis çok hızlıydı, hiç beklemedik.",positive
Canlı müzik çok kaliteliydi.,positive
Yemeklerin sunumu özensizdi.,negative
"Müzik çok yüksek sesliydi, konuşamadık.",negative
Masalar temizdi ve hijyen kurallarına uyulmuştu.,positive
Şef masaya gelip memnuniyetimizi sordu.,positive
"Tatlı bayattı, yiyemedik.",negative
"Tatlı bayattı, yiyemedik.",negative
Garsonlar çok güler yüzlüydü.,positive
Personel çok profesyoneldi.,positive
"Masalar yapışıktı, temizlenmemişti.",negative
"Çocuk menüsü yoktu, çocuklar aç kaldı.",negative
"Servis çok hızlıydı, hiç beklemedik.",positive
Canlı müzik çok kaliteliydi.,positive
Fiyatlar aşırı pahalıydı.,negative
Porsiyonlar oldukça doyurucuydu.,positive
Yemeklerin sunumu özensizdi.,negative
Yemeklerin sunumu özensizdi.,negative
Menüdeki çeşitlilik çok iyiydi.,positive
"Yemek çok geç geldi, beklemekten sıkıldık.",negative
Personel suratsızdı.,negative
"Kahve enfesti, mutlaka denemelisiniz.",positive
"Servis çok hızlıydı, hiç beklemedik.",positive
"Yemekler harikaydı, şefin ellerine sağlık.",positive
"Sunum çok şıktı, görsel olarak da doyduk.",positive
Fiyatlar kaliteye göre gayet uygundu.,positive
Personel suratsızdı.,negative
Çorba çok yağlıydı.,negative
Yemekler soğuktu ve tatsızdı.,negative
Tatlılar taze ve çok lezzetliydi.,positive
Tatlı çok şekerliydi ve lezzetsizdi.,negative
Yemek sonrası ikramlar çok hoştu.,positive
Porsiyonlar oldukça doyurucuydu.,positive
"Tatlı bayattı, yiyemedik.",negative
Yemeklerin sunumu özensizdi.,negative
Canlı müzik çok kaliteliydi.,positive
Menüdeki çeşitlilik çok iyiydi.,positive
Fiyatlar aşırı pahalıydı.,negative
"Tatlı bayattı, yiyemedik.",negative
Garson siparişi yanlış getirdi.,negative
Sandalyeler rahatsızdı.,negative
Dekorasyon çok estetikti.,positive
Servis çok yavaştı.,negative
Yemeklerin lezzeti muazzamdı.,positive
Çorba çok yağlıydı.,negative
Personel çok profesyoneldi.,positive
"Mekanda klima çalışmıyordu, çok sıcaktı.",negative
"Masalar yapışıktı, temizlenmemişti.",negative
Siparişimiz kısa sürede geldi.,positive
Sandalyeler rahatsızdı.,negative
Atmosfer çok keyifliydi.,positive
Rezervasyon yaptırmamıza rağmen bekletildik.,negative
Et pişmemişti.,negative
"Ambiyans çok hoştu, tekrar gelmek isteriz.",positive
Kahve yanmış gibiydi.,negative
Masalar temizdi ve hijyen kurallarına uyulmuştu.,positive
Dekorasyon çok estetikti.,positive
Kahve yanmış gibiydi.,negative
Çocuklar için oyun alanı düşünülmüş olması harika.,positive
"Servis çok hızlıydı, hiç beklemedik.",positive
Yemeklerin sunumu özensizdi.,negative
"Mekanda klima çalışmıyordu, çok sıcaktı.",negative
Yemeklerin lezzeti muazzamdı.,positive
Canlı müzik çok kaliteliydi.,positive
Dekorasyon çok estetikti.,positive
Tatlı çok şekerliydi ve lezzetsizdi.,negative
"Kahve enfesti, mutlaka denemelisiniz.",positive
Tuvaletler çok pisti.,negative
Yemeklerin sunumu özensizdi.,negative
Hijyen kurallarına dikkat edilmemişti.,negative
"Müzik çok yüksek sesliydi, konuşamadık.",negative
"Müzik çok yüksek sesliydi, konuşamadık.",negative
Et pişmemişti.,negative
"Tatlılar muhteşemdi, bayıldım!",positive
Kahve yanmış gibiydi.,negative
"Garsonlar ilgisizdi, kimse sipariş almaya gelmedi.",negative
Çocuklar için oyun alanı düşünülmüş olması harika.,positive
"Garsonlar çok ilgiliydi, çok memnun kaldık.",positive
Kahve yanmış gibiydi.,negative
Atmosfer çok keyifliydi.,positive
Rezervasyon süreci çok kolaydı.,positive
"Garsonlar çok ilgiliydi, çok memnun kaldık.",positive
Yemeklerin lezzeti muazzamdı.,positive
Fiyatlar aşırı pahalıydı.,negative
Servis çok yavaştı.,negative
Yemek tuzlu ve ağırdı.,negative
Servis çok yavaştı.,negative
Yemekler soğuktu ve tatsızdı.,negative
Yemeklerden sonra mide ağrısı yaşadım.,negative
"Her şey mükemmeldi, tekrar geleceğim.",positive
Yemek sonrası ikramlar çok hoştu.,positive
"Yemek çok geç geldi, beklemekten sıkıldık.",negative
